DATE,Plot Name,year,hum_dist,site,plot,User Processing files,DEM & ORTHO UPLOAD COMPLETE,DEM.scale,PLOT SHAPEFILE CREATED,PLOT AREA DIGITIZED,CLIP DEM RASTER TO SHAPEFILE AREA FOR STRUCTURAL ANALYSES,OBJECTID *,SHAPE *,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope,Complexity Calculation,surface.rugosity,CREATE BTM SLOPE RASTER,slope,CREATE BTM VRM RASTER,Avg_terrain_ruggedness (VRM),CREATE CURVATURE RASTERS,average.curvature,profile.curvature,planform.curvature
,KI17_Site5_MPQ2,2017,Very Low,5,2,KB,X,1,X,X,X,1,Polygon,16.431883,16.023318,3.00658,4.16488,3.559596,26.724479,0.198793,10000,294.590567,1.667849256,1.667849256,X,36.9365961,X,0.047414052,X,-10.70502495,2.740815602,-7.964209334
,KI17_Site5_MPQ3,2017,Very Low,5,3,KB,X,1,X,X,X,1,Polygon,16.169252,16.014405,-1.482903,-0.088065,-0.697606,27.255028,0.317755,10000,297.161518,1.701907002,1.701907002,X,38.79601268,X,0.049223842,X,8.380893834,63.00223974,71.38313172
,KI17_Site27_MPQ1,2017,Very High,27,1,KB,X,1,X,X,X,1,Polygon,16.382701,15.999157,4.065227,5.388921,4.709807,22.125743,0.474399,10000,147.196853,1.382931801,1.382931801,X,32.53703033,X,0.033282961,X,2.363075042,172.738316,175.101393
,KI17_Site27_MPQ2,2017,Very High,27,2,KB,X,1,X,X,X,1,Polygon,16.026509,16.004915,4.133989,4.9564,4.500466,21.704065,0.490664,10000,155.625429,1.356087489,1.356087489,X,29.81524202,X,0.029466412,X,-13.25692678,229.095514,215.8385881
,KI17_Site27_MPQ3,2017,Very High,27,3,KB,X,1,X,X,X,1,Polygon,16.070021,16.006048,4.732898,5.13404,4.828249,20.047073,0,10000,112.095518,1.252468629,1.252468629,X,25.74809951,X,0.029057674,X,3.413711385,282.1582057,285.5719162
,KI17_Site8_MPQ1,2017,Medium,8,1,KB,X,1,X,X,X,1,Polygon,16.015641,16.009184,3.87605,5.713229,4.958078,27.078299,0.636546,10000,276.601047,1.691422811,1.691422811,X,39.16657055,X,0.048955418,X,23.96220912,76.85112365,100.8133356
,KI17_Site8_MPQ2,2017,Medium,8,2,KB,X,1,X,X,X,1,Polygon,16.607391,16.006334,4.484011,6.587214,5.679458,26.395701,0,10000,271.06801,1.649078484,1.649078484,X,38.23478148,X,0.035152248,X,23.53224262,-26.76792642,-50.3001684
,KI17_Site8_MPQ3,2017,Medium,8,3,KB,X,1,X,X,X,2,Polygon,16.172895,16.016617,4.36827,5.607837,4.965752,24.448788,0.782036,10000,235.944395,1.526463922,1.526463922,X,34.62161607,X,0.034512599,X,5.325570731,117.2238103,122.5493794
,KI15_Site5_MPQ1,2015,Very Low,5,1,KB,X,1,X,X,X,4,Polygon,16.082883,16.006627,2.345046,3.916874,3.184981,37.826846,0.372051,10000,511.687097,2.363199067,2.363199067,X,45.09501467,X,0.090052359,X,28.43096368,-284.4592618,-256.0282991
,KI15_Site5_MPQ2,2015,Very Low,5,2,KB,X,1,X,X,X,1,Polygon,16.431394,16.022392,2.515225,3.635708,3.078382,35.680759,0.429526,10000,624.137554,2.226930848,2.226930848,X,42.37825857,X,0.084778145,X,-10.46838605,-417.3699852,-427.8383627
,KI15_Site5_MPQ3,2015,Very Low,5,3,KB,X,1,X,X,X,2,Polygon,16.168698,16.01333,9.097798,10.40339,9.816718,31.641088,0.516923,10000,334.808861,1.97592181,1.97592181,X,42.5437375,X,0.070944518,X,10.22410928,-134.6369158,-124.4128073
,KI15_Site27_MPQ1,2015,Very High,27,1,KB,X,1,X,X,X,1,Polygon,16.382721,15.998761,2.739897,3.463214,2.922893,24.525666,0.090786,10000,265.809897,1.532972835,1.532972835,X,33.173167,X,0.044837852,X,-13.73461885,286.9893833,273.2547688
,KI15_Site27_MPQ2,2015,Very High,27,2,KB,X,1,X,X,X,1,Polygon,16.026703,16.005347,2.739973,4.048646,3.33607,24.437403,0,10000,220.510133,1.526827441,1.526827441,X,34.7737793,X,0.041933728,X,5.207628661,219.9047237,225.1123505
,KI15_Site27_MPQ3,2015,Very High,27,3,KB,X,1,X,X,X,1,Polygon,16.069428,16.005044,2.750371,3.387351,3.038634,23.670351,0,10000,184.702296,1.478930705,1.478930705,X,33.96084366,X,0.045619437,X,6.481800206,230.8794209,237.3612193
,KI15_Site8_MPQ1,2015,Medium,8,1,KB,X,1,X,X,X,1,Polygon,16.015437,16.008811,2.950593,4.072422,3.46223,28.697663,0.425036,10000,258.523676,1.792616766,1.792616766,X,40.60265995,X,0.073191071,X,28.69497198,34.64098029,63.33595289
,KI15_Site8_MPQ2,2015,Medium,8,2,KB,X,1,X,X,X,1,Polygon,16.609247,16.009716,-3.324504,-2.216323,-2.696436,33.491647,0.098186,10000,431.965221,2.091957596,2.091957596,X,42.97828492,X,0.090903497,X,46.04386964,-212.0629726,-166.0191077
,KI15_Site8_MPQ3,2015,Medium,8,3,KB,X,1,X,X,X,1,Polygon,16.171468,16.013835,2.981708,4.121127,3.490992,28.518028,0.102963,10000,284.868389,1.780836883,1.780836883,X,39.59888442,X,0.060250254,X,-2.546360752,103.7914225,101.2450601
,KI16b_Site5_MPQ1,2016b,Very Low,5,1,KB,X,1,X,X,X,1,Polygon,16.083643,16.008114,1.979053,3.21572,2.573887,32.910508,0.047542,10000,466.793178,2.05586417,2.05586417,X,41.52559375,X,0.057508862,X,16.03580266,87.29968057,103.335488
,KI16b_Site5_MPQ2,2016b,Very Low,5,2,KB,X,1,X,X,X,1,Polygon,16.432445,16.023967,2.218928,4.265706,3.243792,27.869115,0.001192,10000,317.456179,1.739214453,1.739214453,X,38.76032564,X,0.046728407,X,-3.203355863,-9.120402429,-12.32375926
,KI16b_Site5_MPQ3,2016b,Very Low,5,3,KB,X,1,X,X,X,1,Polygon,16.169104,16.014067,2.874265,4.565842,3.696858,27.462927,0.591501,10000,317.645655,1.714925197,1.714925197,X,39.00429106,X,0.048313734,X,14.88753936,53.57607984,68.46362113
,KI16b_Site8_MPQ1,2016b,Medium,8,1,KB,X,1,X,X,X,1,Polygon,16.017509,16.01301,3.457345,5.20103,4.375692,27.233707,0.532398,10000,241.074552,1.700723786,1.700723786,X,39.78033593,X,0.055027952,X,9.715021892,155.6329242,165.3479452
,KI16b_Site8_MPQ2,2016b,Medium,8,2,KB,X,1,X,X,X,1,Polygon,16.608731,16.00826,2.898364,4.768234,3.838652,28.330127,0.396243,10000,283.085888,1.76971932,1.76971932,X,40.51564402,X,0.050889865,X,40.58236146,104.3755118,144.9578721
,KI16b_Site8_MPQ3,2016b,Medium,8,3,KB,X,1,X,X,X,1,Polygon,16.173314,16.017479,2.865519,4.9293,3.74138,26.714182,0.081103,10000,269.377575,1.667814392,1.667814392,X,37.94491847,X,0.042240498,X,3.660606369,111.5076195,115.1682239
,KI16b_Site27_MPQ1,2016b,Very High,27,1,KB,X,1,X,X,X,1,Polygon,16.383475,15.999618,4.548792,6.531575,5.336343,21.882931,0.312364,10000,158.699016,1.367715842,1.367715842,X,31.15621462,X,0.025051533,X,-12.45853553,210.8734253,198.4148912
,KI16b_Site27_MPQ1,2016b,Very High,27,2,KB,X,1,X,X,X,1,Polygon,16.026667,16.005167,-5.56921,-4.189229,-4.898999,21.585358,0.308805,10000,149.59099,1.348649346,1.348649346,X,29.53025128,X,0.023549778,X,-6.274560028,158.011833,151.7372736
,KI16b_Site27_MPQ1,2016b,Very High,27,3,KB,X,1,X,X,X,1,Polygon,16.069205,16.004723,-5.048403,-4.040568,-4.558594,19.87868,0.102873,10000,100.59369,1.242050862,1.242050862,X,26.04011912,X,0.021092311,X,4.10534407,297.8934593,301.9988036
,KI16a_Site5_MPQ1,2016a,Very Low,5,1,KB,X,1,X,X,X,1,Polygon,16.083624,16.008087,4.162916,5.443747,4.847352,33.253043,0,10000,543.918069,2.07726526,2.07726526,X,41.16770996,X,0.061622183,X,6.083706226,68.89119553,74.97490695
,KI16a_Site5_MPQ2,2016a,Very Low,5,2,KB,X,1,X,X,X,1,Polygon,16.432673,16.024439,4.034934,5.316892,4.721658,29.351368,0.545065,10000,421.023049,1.83166275,1.83166275,X,30.42422722,X,0.068735538,X,-2.46E-07,62.07619997,62.07620007
,KI16a_Site5_MPQ3,2016a,Very Low,5,3,KB,X,1,X,X,X,1,Polygon,16.168864,16.013915,4.428244,6.08259,5.274165,30.034822,0.320556,10000,377.578791,1.875545237,1.875545237,X,40.97724259,X,0.057769293,X,-13.73490784,6.426021439,-7.308885066
,KI16a_Site27_MPQ1,2016a,Very High,27,1,KB,X,1,X,X,X,1,Polygon,16.382988,15.998723,4.90591,6.123577,5.501663,23.338843,0.030218,10000,179.650758,1.458794118,1.458794118,X,32.70593556,X,0.042025249,X,1.138207722,252.2847422,253.422951
,KI16a_Site27_MPQ2,2016a,Very High,27,2,KB,X,1,X,X,X,1,Polygon,16.027199,16.00637,3.892989,4.9944,4.35389,21.884052,0.587692,10000,156.633814,1.36720893,1.36720893,X,29.50884974,X,0.027190985,X,-26.411653,270.0763719,243.6647203
,KI16a_Site27_MPQ3,2016a,Very High,27,3,KB,X,1,X,X,X,1,Polygon,16.069873,16.006021,4.714059,5.218163,4.86855,19.855041,0.185493,10000,108.575298,1.240473257,1.240473257,X,24.5630684,X,0.025527143,X,-3.052143722,307.809333,304.7571905
,KI16a_Site8_MPQ1,2016a,Medium,8,1,KB,X,1,X,X,X,1,Polygon,16.01604,16.01002,3.349231,5.042038,4.363754,25.659822,0.103388,10000,219.277225,1.602735563,1.602735563,X,37.55976359,X,0.044365879,X,35.25514727,148.1412475,183.3963928
,KI16a_Site8_MPQ2,2016a,Medium,8,2,KB,X,1,X,X,X,1,Polygon,16.609752,16.010886,4.715496,6.45527,5.558573,29.371937,0.37686,10000,320.133345,1.834497916,1.834497916,X,40.76884458,X,0.061883203,X,35.26820906,133.1478158,168.4160235
,KI16a_Site8_MPQ3,2016a,Medium,8,3,KB,X,1,X,X,X,1,Polygon,16.172718,16.016187,4.890227,7.130479,5.893061,27.117637,0.140371,10000,271.458787,1.693139385,1.693139385,X,38.81723085,X,0.041432428,X,0.558210513,145.4132943,145.9715048
