"","year","hum_dist","region","site","ppq","Dead","HardCoral","Macroalgae","Non.Coral","Rubble","Sand","SoftCoral","year.site.ppq"
"52",2017,"Very Low","Vaskes",5,2,126,122,20,1,14,11,0,"2017.5.2"
"53",2017,"Very Low","Vaskes",5,3,33,82,17,0,1,0,1,"2017.5.3"
"54",2017,"Very Low","Vaskes",37,1,83,98,319,0,3,43,0,"2017.37.1"
"55",2017,"Very Low","Vaskes",37,2,14,68,29,0,6,17,0,"2017.37.2"
"56",2017,"Very Low","Vaskes",37,3,34,74,21,0,8,2,0,"2017.37.3"
"57",2019,"Medium","S.Lagoon",8,1,31,487,23,1,98,17,1,"2019.8.1"
"58",2019,"Medium","S.Lagoon",8,2,37,406,57,1,5,0,1,"2019.8.2"
"59",2019,"Medium","S.Lagoon",8,3,19,203,87,0,41,46,0,"2019.8.3"
"60",2019,"Medium","S.Lagoon",34,1,35,373,206,1,71,113,0,"2019.34.1"
"61",2019,"Medium","S.Lagoon",34,2,16,461,134,1,157,47,0,"2019.34.2"
"62",2019,"Medium","S.Lagoon",34,3,37,360,287,1,129,59,0,"2019.34.3"
"63",2019,"Medium","S.Lagoon",35,1,33,456,213,1,149,140,0,"2019.35.1"
"64",2019,"Medium","S.Lagoon",35,2,30,486,75,3,18,37,0,"2019.35.2"
"65",2019,"Medium","S.Lagoon",35,3,23,430,64,4,16,11,0,"2019.35.3"
"66",2019,"Very High","N.Lagoon",27,1,8,24,56,0,1,120,0,"2019.27.1"
"67",2019,"Very High","N.Lagoon",27,2,7,9,16,0,1,58,0,"2019.27.2"
"68",2019,"Very High","N.Lagoon",27,3,8,4,10,0,1,13,0,"2019.27.3"
"69",2019,"Very High","N.Lagoon",30,1,15,2,5,0,1,40,0,"2019.30.1"
"70",2019,"Very High","N.Lagoon",30,2,31,45,59,0,1,85,0,"2019.30.2"
"71",2019,"Very High","N.Lagoon",30,3,138,85,199,0,2,217,1,"2019.30.3"
"72",2019,"Very High","N.Lagoon",32,1,15,2,5,0,1,40,0,"2019.32.1"
"73",2019,"Very High","N.Lagoon",32,2,22,9,1,0,1,1,0,"2019.32.2"
"74",2019,"Very High","N.Lagoon",32,3,17,7,0,0,1,127,0,"2019.32.3"
"75",2019,"Very Low","Vaskes",5,1,51,340,64,0,11,5,1,"2019.5.1"
"76",2019,"Very Low","Vaskes",5,2,13,328,101,0,19,5,3,"2019.5.2"
"77",2019,"Very Low","Vaskes",5,3,30,310,126,0,5,0,3,"2019.5.3"
"78",2019,"Very Low","Vaskes",37,1,94,322,161,0,1,123,2,"2019.37.1"
"79",2019,"Very Low","Vaskes",37,2,49,154,13,0,1,7,3,"2019.37.2"
"80",2019,"Very Low","Vaskes",37,3,87,194,15,0,1,0,2,"2019.37.3"
