year,hum_dist,site,plot,User Processing files,DEM & ORTHO UPLOAD COMPLETE,DEM.scale,PLOT SHAPEFILE CREATED,PLOT AREA DIGITIZED,CLIP DEM RASTER TO SHAPEFILE AREA FOR STRUCTURAL ANALYSES,OBJECTID *,SHAPE *,SHAPE_Length,SHAPE_Area,Z_Min,Z_Max,Z_Mean,SArea,Min_Slope,Max_Slope,Avg_Slope,Complexity Calculation,surface.rugosity,CREATE BTM SLOPE RASTER,slope,CREATE BTM VRM RASTER,Avg_terrain_ruggedness (VRM),CREATE CURVATURE RASTERS,average.curvature,profile.curvature,planform.curvature
2015,Medium,8,2,KB,X,1,X,X,X,1,Polygon,16.60925,16.00972,-3.3245,-2.21632,-2.69644,33.49165,0.09819,10000,431.96522,2.09196,2.09196,X,42.97828,X,0.0909,X,46.04387,-212.06297,-166.01911
2015,Medium,8,3,KB,X,1,X,X,X,1,Polygon,16.17147,16.01384,2.98171,4.12113,3.49099,28.51803,0.10296,10000,284.86839,1.78084,1.78084,X,39.59888,X,0.06025,X,-2.54636,103.79142,101.24506
2015,Very High,32,1,KB,X,1,X,X,X,1,Polygon,16.20046,16.0083,1.73717,3.18583,2.49274,29.16348,0.64867,10000,330.22874,1.82177,1.82177,X,39.32146,X,0.06613,X,11.92347,-6.66107,5.2624
2015,Very High,32,2,KB,X,1,X,X,X,1,Polygon,16.1062,16.0163,2.5164,3.67271,2.99445,25.65525,0.36653,10000,192.01184,1.60182,1.60182,X,37.76316,X,0.06237,X,-5.27156,178.06504,172.79348
2015,Very High,32,3,KB,X,1,X,X,X,1,Polygon,16.0557,16.00447,3.04174,3.75965,3.29187,24.53674,0.12495,10000,178.9136,1.53312,1.53312,X,35.95609,X,0.05346,X,-3.01614,185.98534,182.9692
2015,Medium,34,1,KB,X,1,X,X,X,1,Polygon,16.10632,16.00784,2.73964,4.27404,3.39824,30.87631,0.01878,10000,345.68529,1.92882,1.92882,X,41.11038,X,0.06978,X,-1.99482,95.1055,93.11068
2015,Medium,34,2,KB,X,1,X,X,X,1,Polygon,16.03087,16.0031,2.75541,3.73638,3.25924,28.83118,0,10000,265.06628,1.8016,1.8016,X,40.56102,X,0.06928,X,31.03026,104.35264,135.3829
2015,Medium,34,3,KB,X,1,X,X,X,1,Polygon,16.13892,16.00392,2.31141,3.46865,2.80089,29.63807,0.04038,10000,328.41864,1.85193,1.85193,X,39.19977,X,0.07234,X,13.06869,136.25805,149.32673
2015,Medium,35,1,KB,X,1,X,X,X,1,Polygon,16.05111,16.00591,2.92676,3.88481,3.34684,26.39876,0,10000,237.99698,1.64931,1.64931,X,37.93477,X,0.05375,X,21.92695,131.0193,152.94625
2015,Medium,35,2,KB,X,1,X,X,X,1,Polygon,16.29019,16.00473,-0.92929,0.39062,-0.14862,31.04983,0.13294,10000,411.74737,1.94004,1.94004,X,40.59695,X,0.06925,X,48.29471,104.35529,152.65
2015,Medium,35,3,KB,X,1,X,X,X,1,Polygon,16.17959,16.00504,2.8512,4.11145,3.42363,35.81899,0.42823,10000,461.38406,2.23798,2.23798,X,45.31242,X,0.08512,X,-7.87282,-60.11308,-67.9859
2015,Very Low,15,1,KB,X,1,X,X,X,1,Polygon,16.01494,15.98005,3.66826,5.05218,4.31138,33.30464,0.25862,6083.22158,511.08297,2.08414,2.08414,X,40.59041,X,0.08435,X,-44.0828,-85.80637,-129.88917
2015,Very Low,15,2,KB,X,1,X,X,X,1,Polygon,16.13905,16.00737,3.87946,5.01841,4.4658,44.13456,0.26769,7613.39121,908.93928,2.75714,2.75714,X,43.50351,X,0.10977,X,-9.93691,-401.93005,-411.86695
2015,Very Low,15,3,KB,X,1,X,X,X,1,Polygon,16.02721,16.00391,3.3714,5.47226,4.38357,44.80773,0.64401,10000,664.95868,2.7998,2.7998,X,48.73912,X,0.11092,X,1.40888,-346.24354,-344.83466
2015,Very Low,19,1,KB,X,1,X,X,X,1,Polygon,16.05998,16.00236,-0.67781,0.25463,-0.19698,41.1023,0.08351,10000,607.69742,2.56851,2.56851,X,46.56063,X,0.11073,X,2.93432,-458.81829,-455.88397
2015,Very Low,19,2,KB,X,1,X,X,X,1,Polygon,16.17886,16.00487,1.02297,2.46645,1.7796,34.78813,0.34099,10000,436.35037,2.1736,2.1736,X,44.48077,X,0.09081,X,-6.91428,-297.13655,-304.05083
2015,Very Low,5,1,KB,X,8,X,X,X,1,Polygon,16.08288,16.00663,2.59166,3.82589,3.17904,21.34386,0.0579,10000,108.22513,1.33344,1.33344,X,31.36792,X,0.07599,X,11.16566,23.28326,34.44891
2015,Very Low,5,2,KB,X,8,X,X,X,1,Polygon,16.43139,16.02239,2.54972,3.61778,3.06555,21.74886,1.3918,10000,128.8039,1.3574,1.3574,X,29.48897,X,0.07006,X,-17.60075,12.8722,-4.72855
2015,Very Low,5,3,KB,X,8,X,X,X,1,Polygon,16.1687,16.01333,9.2165,10.34804,9.81846,19.46078,1.10218,10000,83.26292,1.21529,1.21529,X,28.00076,X,0.05123,X,28.21901,-3.46423,24.75478
2015,Very High,27,1,KB,X,8,X,X,X,1,Polygon,16.38272,15.99876,2.76884,3.41266,2.91681,18.34028,0.40661,10000,73.0361,1.14636,1.14636,X,20.12377,X,0.04064,X,-6.19688,100.23099,94.03412
2015,Very High,27,2,KB,X,8,X,X,X,1,Polygon,16.0267,16.00535,2.76272,4.0017,3.33764,18.29991,1.3591,10000,69.5269,1.14336,1.14336,X,22.85131,X,0.03884,X,2.57403,59.82929,62.40332
2015,Very High,27,3,KB,X,8,X,X,X,1,Polygon,16.06943,16.00504,2.77117,3.37206,3.03868,17.47931,0.61798,10000,55.55031,1.09211,1.09211,X,17.00165,X,0.02884,X,4.80642,60.22814,65.03456
2015,Very High,30,1,KB,X,8,X,X,X,1,Polygon,16.46594,16.00174,-3.1569,-1.7392,-2.57097,24.19481,0.8029,10000,159.3079,1.51201,1.51201,X,34.27224,X,0.08909,X,24.81584,55.47518,80.29102
2015,Very High,30,2,KB,X,8,X,X,X,1,Polygon,16.0109,15.99792,1.31064,3.10745,2.03969,21.0593,1.38674,10000,115.44073,1.31638,1.31638,X,29.74084,X,0.0545,X,-9.04595,103.6073,94.56136
2015,Very High,30,3,KB,X,8,X,X,X,1,Polygon,16.20806,16.01118,2.16722,2.95224,2.51721,19.79531,0.98293,10000,92.34966,1.23634,1.23634,X,25.54351,X,0.05395,X,-9.444,115.36604,105.92203
2015,Medium,8,1,KB,X,8,X,X,X,1,Polygon,16.01544,16.00881,2.99016,4.01675,3.46281,18.55915,0.79182,10000,71.31847,1.15931,1.15931,X,23.92264,X,0.03923,X,22.82904,24.53572,47.36476
2015,Medium,8,2,KB,X,8,X,X,X,1,Polygon,16.60925,16.00972,-3.2274,-2.27011,-2.69922,20.35748,1.10856,10000,98.50269,1.27157,1.27157,X,26.86045,X,0.05811,X,45.41586,17.79539,63.21125
2015,Medium,8,3,KB,X,8,X,X,X,1,Polygon,16.17147,16.01384,3.00652,4.07401,3.47851,19.19765,1.35185,10000,82.31231,1.19882,1.19882,X,26.01342,X,0.04116,X,-0.47173,29.37697,28.90525
2015,Very High,32,1,KB,X,8,X,X,X,1,Polygon,16.20046,16.0083,1.75026,3.13484,2.48338,18.91985,1.11157,10000,77.74566,1.18188,1.18188,X,24.64445,X,0.04423,X,9.29343,49.07199,58.36542
2015,Very High,32,2,KB,X,8,X,X,X,1,Polygon,16.1062,16.0163,2.55503,3.6051,2.99365,17.51249,0.33777,10000,54.6904,1.09342,1.09342,X,18.72195,X,0.02809,X,-4.34114,43.48941,39.14827
2015,Very High,32,3,KB,X,8,X,X,X,1,Polygon,16.0557,16.00447,3.07699,3.71914,3.29291,17.40694,0.24657,10000,53.99031,1.08763,1.08763,X,18.7395,X,0.03135,X,-1.69619,75.21812,73.52194
2015,Medium,34,1,KB,X,8,X,X,X,1,Polygon,16.10632,16.00784,2.75858,4.2233,3.37545,20.0182,1.33856,10000,92.602,1.25052,1.25052,X,29.38109,X,0.04694,X,-8.48429,65.5944,57.11012
2015,Medium,34,2,KB,X,8,X,X,X,1,Polygon,16.03087,16.0031,2.79063,3.68895,3.25408,18.92807,0.47034,10000,76.83511,1.18278,1.18278,X,25.25511,X,0.04139,X,21.59378,46.03671,67.63049
2015,Medium,34,3,KB,X,8,X,X,X,1,Polygon,16.13892,16.00392,2.32288,3.21616,2.77107,18.90459,0.72599,10000,80.35292,1.18125,1.18125,X,23.91566,X,0.03856,X,7.92886,43.29949,51.22835
2015,Medium,35,1,KB,X,8,X,X,X,1,Polygon,16.05111,16.00591,2.96271,3.85717,3.34903,19.00001,0.33081,10000,77.16715,1.18706,1.18706,X,24.85329,X,0.04705,X,27.65889,44.20526,71.86415
2015,Medium,35,2,KB,X,8,X,X,X,1,Polygon,16.29019,16.00473,-0.90215,0.33621,-0.15501,20.71615,2.09442,10000,106.67089,1.29438,1.29438,X,29.08664,X,0.06179,X,38.93075,19.97492,58.90567
2015,Medium,35,3,KB,X,8,X,X,X,1,Polygon,16.17959,16.00504,2.90536,3.9645,3.41412,20.48014,0.94259,10000,100.32666,1.27961,1.27961,X,30.38117,X,0.05691,X,2.97497,43.28095,46.25592
2015,Very Low,15,1,KB,X,8,X,X,X,1,Polygon,16.01494,15.98005,3.7235,4.88556,4.30346,20.55434,1.19417,10000,104.24928,1.28625,1.28625,X,27.23241,X,0.06108,X,-24.99276,36.81396,11.8212
2015,Very Low,15,2,KB,X,8,X,X,X,1,Polygon,16.13905,16.00737,3.98212,4.98458,4.46853,23.08581,0.94577,10000,143.34629,1.4422,1.4422,X,31.07441,X,0.08429,X,-7.38245,15.50826,8.12581
2015,Very Low,15,3,KB,X,8,X,X,X,1,Polygon,16.02721,16.00391,3.50966,5.35104,4.40516,22.58955,1.7292,10000,124.94071,1.4115,1.4115,X,33.84572,X,0.08158,X,7.7654,14.66485,22.43025
2015,Very Low,19,1,KB,X,8,X,X,X,1,Polygon,16.05998,16.00236,-0.56638,0.18005,-0.19801,22.9285,0.64515,10000,128.77319,1.43282,1.43282,X,32.68836,X,0.09234,X,-17.70794,71.11422,53.40627
2015,Very Low,19,2,KB,X,8,X,X,X,1,Polygon,16.17886,16.00487,1.1088,2.42578,1.78104,19.86451,0.30567,10000,91.82855,1.24115,1.24115,X,26.68134,X,0.05752,X,-4.89715,35.52824,30.63109
2015,Very Low,5,1,KB,X,4,X,X,X,1,Polygon,16.08288,16.00663,2.42758,3.863,3.17692,26.02088,0.03402,10000,175.85663,1.62563,1.62563,X,38.7215,X,0.08979,X,10.1069,20.90713,31.01402
2015,Very Low,5,2,KB,X,4,X,X,X,1,Polygon,16.43139,16.02239,2.52364,3.63014,3.06984,26.54519,0.67583,10000,207.48074,1.65676,1.65676,X,35.85757,X,0.08956,X,-10.75353,-14.80893,-25.56246
2015,Very Low,5,3,KB,X,4,X,X,X,1,Polygon,16.1687,16.01333,9.11641,10.36495,9.81643,23.19062,0.80798,10000,130.4903,1.44821,1.44821,X,35.30117,X,0.07043,X,17.05237,-28.5853,-11.53293
2015,Very High,27,1,KB,X,4,X,X,X,1,Polygon,16.38272,15.99876,2.75302,3.44151,2.92004,20.95593,0.74076,10000,114.90896,1.30985,1.30985,X,26.62281,X,0.05548,X,-6.38676,186.49252,180.10576
2015,Very High,27,2,KB,X,4,X,X,X,1,Polygon,16.0267,16.00535,2.7533,4.02266,3.33746,20.90105,1.39931,4673.04087,105.57501,1.30588,1.30588,X,29.01635,X,0.05679,X,2.5259,127.40622,129.93211
2015,Very High,27,3,KB,X,4,X,X,X,1,Polygon,16.06943,16.00504,2.75785,3.38129,3.03954,19.94797,0.39372,10000,88.90988,1.24635,1.24635,X,24.99758,X,0.0522,X,6.27307,114.16787,120.44093
2015,Very High,30,1,KB,X,4,X,X,X,1,Polygon,16.46594,16.00174,-3.15959,-1.72892,-2.57348,29.28003,1.76065,10000,257.53216,1.8298,1.8298,X,40.21307,X,0.10312,X,40.42468,83.60409,124.02877
2015,Very High,30,2,KB,X,4,X,X,X,1,Polygon,16.0109,15.99792,1.30054,3.15097,2.05156,24.62222,0.50878,10000,178.22986,1.53909,1.53909,X,34.52576,X,0.06989,X,0.99554,177.08075,178.0763
2015,Very High,30,3,KB,X,4,X,X,X,1,Polygon,16.20806,16.01118,2.15338,2.96417,2.51652,23.4503,1.39071,10000,149.69483,1.46462,1.46462,X,32.10391,X,0.07524,X,-10.46232,172.07207,161.60974
2015,Medium,8,1,KB,X,4,X,X,X,1,Polygon,16.01544,16.00881,2.98844,4.06249,3.46254,21.60684,0.65657,10000,109.43983,1.34968,1.34968,X,30.74634,X,0.06009,X,27.29702,54.48177,81.77878
2015,Medium,8,2,KB,X,4,X,X,X,1,Polygon,16.60925,16.00972,-3.27532,-2.2187,-2.69888,24.51625,0.35262,10000,158.98712,1.53134,1.53134,X,34.38937,X,0.08421,X,50.53597,21.04315,71.57912
2015,Medium,8,3,KB,X,4,X,X,X,1,Polygon,16.17147,16.01384,2.99389,4.10959,3.4849,22.16402,0.64677,10000,122.53128,1.38405,1.38405,X,31.99662,X,0.05604,X,3.87034,59.29131,63.16165
2015,Very High,32,1,KB,X,4,X,X,X,1,Polygon,16.20046,16.0083,1.74465,3.17009,2.48615,22.38176,0.47021,10000,127.87367,1.39813,1.39813,X,31.54015,X,0.0671,X,15.40148,68.45186,83.85334
2015,Very High,32,2,KB,X,4,X,X,X,1,Polygon,16.1062,16.0163,2.54646,3.64119,2.99365,20.20312,0.11498,10000,88.75588,1.26141,1.26141,X,26.78282,X,0.05461,X,-3.80342,91.89049,88.08707
2015,Very High,32,3,KB,X,4,X,X,X,1,Polygon,16.0557,16.00447,3.06475,3.74548,3.29303,19.93214,0.44561,10000,84.65409,1.24541,1.24541,X,26.13644,X,0.05108,X,-4.94713,111.4921,106.54498
2015,Medium,34,1,KB,X,4,X,X,X,1,Polygon,16.10632,16.00784,2.75331,4.23755,3.38264,23.2947,0.71322,10000,138.85873,1.45521,1.45521,X,34.39865,X,0.06189,X,-11.3596,108.91739,97.55779
2015,Medium,34,2,KB,X,4,X,X,X,1,Polygon,16.03087,16.0031,2.76443,3.71396,3.25487,21.88141,1.50488,10000,114.15543,1.36732,1.36732,X,31.76433,X,0.0584,X,30.8016,86.97223,117.77383
2015,Medium,34,3,KB,X,4,X,X,X,1,Polygon,16.13892,16.00392,2.317,3.22915,2.77714,21.84607,0.87969,10000,120.60758,1.36505,1.36505,X,30.07881,X,0.05584,X,9.19254,91.84439,101.03693
2015,Medium,35,1,KB,X,4,X,X,X,1,Polygon,16.05111,16.00591,2.95275,3.87296,3.34791,21.87627,1.02955,10000,114.27099,1.36676,1.36676,X,31.31838,X,0.06166,X,20.56268,71.16332,91.726
2015,Medium,35,2,KB,X,4,X,X,X,1,Polygon,16.29019,16.00473,-0.91371,0.38342,-0.15363,24.369,0.75104,10000,158.82106,1.52261,1.52261,X,34.87535,X,0.0758,X,34.16878,81.31756,115.48634
2015,Medium,35,3,KB,X,4,X,X,X,1,Polygon,16.17959,16.00504,2.88454,4.02013,3.41325,24.88949,0.80185,10000,157.70322,1.5551,1.5551,X,37.43297,X,0.07997,X,0.02856,68.07682,68.10538
2015,Very Low,15,1,KB,X,4,X,X,X,1,Polygon,16.01494,15.98005,3.6942,4.97628,4.30633,25.01729,0.59138,10000,177.31513,1.56553,1.56553,X,34.00524,X,0.08712,X,-34.91796,6.37322,-28.54474
2015,Very Low,15,2,KB,X,4,X,X,X,1,Polygon,16.13905,16.00737,3.91641,5.00279,4.46965,29.89809,0.232,10000,270.01402,1.86777,1.86777,X,38.16079,X,0.11756,X,-7.19439,-75.23976,-82.43415
2015,Very Low,15,3,KB,X,4,X,X,X,1,Polygon,16.02721,16.00391,3.45529,5.37003,4.39422,29.44645,0.46096,10000,217.97501,1.83995,1.83995,X,42.27334,X,0.11907,X,-7.23555,-6.90203,-14.13758
2015,Very Low,19,1,KB,X,4,X,X,X,1,Polygon,16.05998,16.00236,-0.63531,0.19843,-0.19986,28.35396,0.52452,10000,209.1157,1.77186,1.77186,X,40.27212,X,0.11014,X,-6.94157,38.75873,31.81716
2015,Very Low,19,2,KB,X,4,X,X,X,1,Polygon,16.17886,16.00487,1.07151,2.44515,1.77964,24.07325,0.67361,10000,153.83093,1.50412,1.50412,X,34.73813,X,0.07921,X,-1.50456,5.6525,4.14794
2017,Very Low,5,1,KB,X,1,X,X,X,1,Polygon,16.08278,16.0064,3.1538,4.88256,4.10483,30.73891,0.07632,10000,375.38545,1.92041,1.92041,X,40.54795,X,0.04279,X,-10.00335,99.75357,89.75023
2017,Very Low,5,2,KB,X,1,X,X,X,1,Polygon,16.43188,16.02332,3.00658,4.16488,3.5596,26.72448,0.19879,10000,294.59057,1.66785,1.66785,X,36.9366,X,0.04741,X,-10.70502,2.74082,-7.96421
2017,Very Low,5,3,KB,X,1,X,X,X,1,Polygon,16.16925,16.01441,-1.4829,-0.08807,-0.69761,27.25503,0.31776,10000,297.16152,1.70191,1.70191,X,38.79601,X,0.04922,X,8.38089,63.00224,71.38313
2017,Very High,27,1,KB,X,1,X,X,X,1,Polygon,16.3827,15.99916,4.06523,5.38892,4.70981,22.12574,0.4744,10000,147.19685,1.38293,1.38293,X,32.53703,X,0.03328,X,2.36308,172.73832,175.10139
2017,Very High,27,2,KB,X,1,X,X,X,1,Polygon,16.02651,16.00492,4.13399,4.9564,4.50047,21.70407,0.49066,10000,155.62543,1.35609,1.35609,X,29.81524,X,0.02947,X,-13.25693,229.09551,215.83859
2017,Very High,27,3,KB,X,1,X,X,X,1,Polygon,16.07002,16.00605,4.7329,5.13404,4.82825,20.04707,0,10000,112.09552,1.25247,1.25247,X,25.7481,X,0.02906,X,3.41371,282.15821,285.57192
2017,Very High,30,1,KB,X,1,X,X,X,1,Polygon,16.46634,16.00278,-5.49895,-2.42867,-3.95829,32.87309,0.59078,10000,531.59435,2.05421,2.05421,X,42.04636,X,0.04329,X,13.6836,91.71023,105.39384
2017,Very High,30,2,KB,X,1,X,X,X,1,Polygon,16.01206,16.00015,4.48814,5.99763,5.12539,27.19796,0.72581,10000,313.68049,1.69986,1.69986,X,38.93775,X,0.05336,X,4.0591,304.50746,308.56657
2017,Very High,30,3,KB,X,1,X,X,X,1,Polygon,16.20905,16.01308,4.51708,5.38375,4.83549,26.74248,0.29906,10000,292.55752,1.67004,1.67004,X,38.23069,X,0.04572,X,1.29156,224.09641,225.38796
2017,Medium,8,1,KB,X,1,X,X,X,1,Polygon,16.01564,16.00918,3.87605,5.71323,4.95808,27.0783,0.63655,10000,276.60105,1.69142,1.69142,X,39.16657,X,0.04896,X,23.96221,76.85112,100.81334
2017,Medium,8,2,KB,X,1,X,X,X,1,Polygon,16.60739,16.00633,4.48401,6.58721,5.67946,26.3957,0,10000,271.06801,1.64908,1.64908,X,38.23478,X,0.03515,X,23.53224,-26.76793,-50.30017
2017,Medium,8,3,KB,X,1,X,X,X,2,Polygon,16.1729,16.01662,4.36827,5.60784,4.96575,24.44879,0.78204,10000,235.9444,1.52646,1.52646,X,34.62162,X,0.03451,X,5.32557,117.22381,122.54938
2017,Very High,32,1,KB,X,1,X,X,X,1,Polygon,16.20183,16.011,4.3768,5.53876,4.92651,26.42526,0.5312,10000,277.81258,1.65044,1.65044,X,36.61532,X,0.04613,X,8.40187,183.18164,191.58351
2017,Very High,32,2,KB,X,1,X,X,X,1,Polygon,16.10492,16.01346,3.27404,4.19478,3.66276,24.00475,0.65504,10000,170.50458,1.49904,1.49904,X,35.04543,X,0.04968,X,-0.79867,273.86548,273.0668
2017,Very High,32,3,KB,X,1,X,X,X,1,Polygon,16.05582,16.00488,4.64331,5.54722,4.9565,23.44271,0.14163,10000,157.09507,1.46472,1.46472,X,34.24919,X,0.05064,X,5.88784,216.34786,222.2357
2017,Medium,34,1,KB,X,1,X,X,X,1,Polygon,16.1072,16.0096,-5.7095,-4.43205,-5.0791,25.03343,0.33927,10000,202.40158,1.56365,1.56365,X,37.15255,X,0.04137,X,-12.64641,112.1564,99.51
2017,Medium,34,2,KB,X,1,X,X,X,1,Polygon,16.03199,16.00545,4.4128,5.2258,4.80825,25.48372,0.44421,10000,198.19024,1.59219,1.59219,X,37.82405,X,0.04954,X,16.52561,102.89498,119.42059
2017,Medium,34,3,KB,X,1,X,X,X,1,Polygon,16.13954,16.00554,4.59151,5.74133,5.21898,23.90772,0.46577,10000,194.89854,1.49372,1.49372,X,35.13014,X,0.0407,X,10.57697,106.05317,116.63014
2017,Medium,35,1,KB,X,1,X,X,X,1,Polygon,16.05069,16.00533,2.72467,3.661,3.23493,24.85408,0.29478,10000,201.40047,1.55286,1.55286,X,37.18678,X,0.04088,X,17.33294,119.59736,136.9303
2017,Medium,35,2,KB,X,1,X,X,X,1,Polygon,16.29024,16.00509,4.23883,5.17925,4.64511,27.13813,0.06519,10000,299.02894,1.69559,1.69559,X,38.43577,X,0.0523,X,17.12185,244.27292,261.39478
2017,Medium,35,3,KB,X,1,X,X,X,1,Polygon,16.17922,16.00465,4.46292,5.36649,4.8732,30.07905,0,10000,324.32975,1.87939,1.87939,X,42.13691,X,0.05905,X,24.17648,39.08425,63.26074
2017,Very Low,15,1,KB,X,1,X,X,X,1,Polygon,16.01488,15.97992,4.11193,6.02317,5.03816,33.45057,0,10000,503.74367,2.09329,2.09329,X,41.00587,X,0.06262,X,19.88904,139.57547,159.46451
2017,Very Low,15,2,KB,X,1,X,X,X,1,Polygon,16.13939,16.00776,4.82018,6.42782,5.59544,33.78148,0.88264,10000,552.08787,2.11032,2.11032,X,40.86208,X,0.06277,X,-9.03247,109.241,100.20853
2017,Very Low,15,3,KB,X,1,X,X,X,1,Polygon,16.02775,16.00493,4.03096,5.2657,4.64643,40.29302,0.15569,10000,583.71981,2.51754,2.51754,X,47.1551,X,0.08272,X,5.47032,-34.42839,-28.95806
2017,Very Low,19,1,KB,X,1,X,X,X,1,Polygon,16.06117,16.00482,4.23912,5.42068,4.78007,29.14894,0,10000,293.74678,1.82126,1.82126,X,41.20853,X,0.05562,X,-3.07101,20.52698,17.45597
2017,Very Low,19,2,KB,X,1,X,X,X,2,Polygon,16.17838,16.00368,4.22147,5.50095,4.78218,32.29352,0.39411,10000,375.60171,2.01788,2.01788,X,43.48367,X,0.08233,X,2.94116,44.81083,47.75199
2017,Very Low,19,3,KB,X,1,X,X,X,1,Polygon,16.71477,16.00214,3.54009,4.73716,4.1848,31.3072,0.05251,10000,431.36304,1.95644,1.95644,X,39.95336,X,0.07606,X,-8.95963,134.53407,125.57444
2017,Very Low,37,1,KB,X,1,X,X,X,3,Polygon,16.24386,16.00379,4.85055,6.30927,5.38296,25.91964,0.42967,10000,319.39841,1.61959,1.61959,X,36.45146,X,0.042,X,-26.02746,207.29625,181.26879
2017,Very Low,37,2,KB,X,1,X,X,X,1,Polygon,16.03841,16.00322,4.12777,4.90564,4.44642,25.43161,0.0836,10000,251.2599,1.58916,1.58916,X,35.77109,X,0.0402,X,7.07201,182.91322,189.98523
2017,Very Low,37,3,KB,X,1,X,X,X,2,Polygon,16.12111,16.00576,4.32429,6.36132,5.15344,30.46148,0.5908,10000,494.39628,1.90316,1.90316,X,40.56256,X,0.04898,X,-0.67385,157.82688,157.15303
2017,Very Low,5,1,KB,X,8,X,X,X,1,Polygon,16.08278,16.0064,3.20809,4.8253,4.11297,21.04629,0.27928,10000,109.88562,1.31487,1.31487,X,32.26983,X,0.07035,X,-12.18105,36.49294,24.31188
2017,Very Low,5,2,KB,X,8,X,X,X,1,Polygon,16.43188,16.02332,3.04322,4.14784,3.5618,19.00386,0.46854,10000,80.82942,1.18601,1.18601,X,25.18887,X,0.0445,X,-0.48524,13.45506,12.96981
2017,Very Low,5,3,KB,X,8,X,X,X,1,Polygon,16.16925,16.01441,-1.45158,-0.12079,-0.69669,20.19694,0.64116,10000,94.25691,1.26117,1.26117,X,27.90021,X,0.05403,X,3.3672,39.64218,43.00937
2017,Very High,27,1,KB,X,8,X,X,X,1,Polygon,16.3827,15.99916,4.07354,5.3372,4.70455,17.95656,0.75325,10000,65.34172,1.12234,1.12234,X,21.07398,X,0.03305,X,2.99629,45.15949,48.15578
2017,Very High,27,2,KB,X,8,X,X,X,1,Polygon,16.02651,16.00492,4.1376,4.9018,4.50012,17.8302,0.2161,4381.26489,59.63152,1.11405,1.11405,X,19.54644,X,0.03259,X,-11.11879,68.53732,57.41853
2017,Very High,27,3,KB,X,8,X,X,X,1,Polygon,16.07002,16.00605,4.74269,5.09359,4.82659,16.6497,0.55095,10000,40.8781,1.04021,1.04021,X,12.63971,X,0.02013,X,4.10919,70.52735,74.63654
2017,Very High,30,1,KB,X,8,X,X,X,1,Polygon,16.46634,16.00278,-5.37076,-2.50271,-3.95033,22.75711,1.77967,10000,143.09146,1.42207,1.42207,X,36.32583,X,0.05916,X,18.52962,24.10545,42.63506
